date,total_sales,average_sales,total_onpromotion,positive_sales_series
2013-01-01,2511.619,1.4094383,0,17
2013-01-02,496092.4,278.3908,0,864
2013-01-03,361461.22,202.8402,0,851
2013-01-04,354459.7,198.91116,0,859
2013-01-05,477350.12,267.87326,0,877
2013-01-06,519695.4,291.63602,0,830
2013-01-07,336122.8,188.62111,0,849
2013-01-08,318347.78,178.64635,0,854
2013-01-09,302530.8,169.77037,0,856
2013-01-10,258982.0,145.33221,0,858
2013-01-11,289737.7,162.5913,0,850
2013-01-12,403258.22,226.2953,0,873
2013-01-13,464638.56,260.73993,0,831
2013-01-14,293348.38,164.6175,0,841
2013-01-15,299129.56,167.86171,0,855
2013-01-16,318347.9,178.64641,0,838
2013-01-17,267498.53,150.1114,0,855
2013-01-18,296130.84,166.17892,0,855
2013-01-19,432459.84,242.6823,0,871
2013-01-20,461092.38,258.74994,0,826
2013-01-21,311211.28,174.64157,0,839
2013-01-22,296214.72,166.226,0,843
2013-01-23,283258.47,158.95537,0,843
2013-01-24,247245.69,138.74617,0,840
2013-01-25,290022.78,162.75128,0,846
2013-01-26,413799.78,232.21088,0,867
2013-01-27,430412.0,241.53311,0,812
2013-01-28,285460.16,160.19089,0,839
2013-01-29,264488.8,148.42245,0,848
2013-01-30,281061.12,157.72229,0,846
2013-01-31,271254.22,152.21898,0,849
2013-02-01,369402.06,207.29633,0,867
2013-02-02,518887.47,291.18265,0,873
2013-02-03,486336.8,272.9163,0,828
2013-02-04,344308.72,193.21477,0,865
2013-02-05,321245.84,180.27264,0,846
2013-02-06,321538.2,180.43669,0,845
2013-02-07,290807.53,163.19165,0,848
2013-02-08,347441.78,194.97295,0,855
2013-02-09,416176.28,233.5445,0,869
2013-02-10,300951.34,168.88403,0,861
2013-02-11,278627.6,156.35667,0,850
2013-02-12,308800.78,173.28888,0,860
2013-02-13,319597.94,179.34789,0,856
2013-02-14,308164.03,172.93155,0,851
2013-02-15,320168.88,179.66827,0,842
2013-02-16,485660.5,272.53674,0,822
2013-02-17,399588.9,224.2362,0,814
2013-02-18,350745.56,196.82692,0,853
2013-02-19,293637.8,164.77992,0,855
2013-02-20,313803.16,176.09605,0,859
2013-02-21,267711.1,150.2307,0,846
2013-02-22,285679.88,160.31418,0,849
2013-02-23,412897.34,231.70445,0,862
2013-02-24,452726.12,254.05507,0,824
2013-02-25,307110.88,172.34056,0,851
2013-02-26,270425.0,151.75365,0,848
2013-02-27,288402.0,161.84175,0,851
2013-02-28,278116.28,156.06975,0,858
2013-03-01,378898.16,212.62523,0,875
2013-03-02,547857.2,307.4395,0,884
2013-03-03,559820.56,314.15295,0,836
2013-03-04,383647.7,215.29051,0,864
2013-03-05,332190.0,186.41414,0,872
2013-03-06,335726.6,188.39876,0,876
2013-03-07,293099.53,164.47784,0,853
2013-03-08,316600.7,177.66592,0,865
2013-03-09,453259.5,254.35437,0,893
2013-03-10,461859.75,259.18054,0,838
2013-03-11,318379.12,178.66393,0,856
2013-03-12,271823.38,152.53838,0,865
2013-03-13,287869.66,161.54301,0,857
2013-03-14,247541.42,138.91214,0,861
2013-03-15,315878.1,177.26044,0,866
2013-03-16,482233.44,270.6136,0,907
2013-03-17,513439.6,288.1255,0,869
2013-03-18,330283.8,185.34445,0,879
2013-03-19,294020.25,164.99452,0,878
2013-03-20,321207.0,180.25084,0,892
2013-03-21,269130.12,151.02701,0,879
2013-03-22,304100.47,170.65121,0,891
2013-03-23,453192.0,254.3165,0,915
2013-03-24,449794.62,252.41,0,864
2013-03-25,317559.62,178.20406,0,880
2013-03-26,275818.25,154.78017,0,887
2013-03-27,313691.16,176.0332,0,880
2013-03-28,339293.28,190.40027,0,895
2013-03-29,345513.12,193.89064,0,898
2013-03-30,452661.34,254.0187,0,908
2013-03-31,462107.62,259.31964,0,870
2013-04-01,428816.44,240.63773,0,887
2013-04-02,377732.8,211.97127,0,904
2013-04-03,373731.06,209.72563,0,900
2013-04-04,308738.38,173.25386,0,881
2013-04-05,336394.78,188.77373,0,887
2013-04-06,509424.22,285.87216,0,909
2013-04-07,519048.38,291.27295,0,861
2013-04-08,346649.8,194.52852,0,888
2013-04-09,306335.8,171.90562,0,893
2013-04-10,312846.38,175.55913,0,886
2013-04-11,303223.4,170.15904,0,878
2013-04-12,314394.97,176.42815,0,895
2013-04-13,453442.5,254.45708,0,913
2013-04-14,478417.16,268.47202,0,866
2013-04-15,338712.47,190.07434,0,891
2013-04-16,333431.88,187.11104,0,882
2013-04-17,334990.53,187.9857,0,887
2013-04-18,281924.5,158.20679,0,880
2013-04-19,311588.72,174.85338,0,888
2013-04-20,459884.84,258.0723,0,912
2013-04-21,485721.03,272.57074,0,863
2013-04-22,328886.3,184.56023,0,882
2013-04-23,302097.84,169.5274,0,887
2013-04-24,310555.2,174.27339,0,879
2013-04-25,268790.62,150.83649,0,871
2013-04-26,304413.56,170.82692,0,882
2013-04-27,446665.34,250.65395,0,897
2013-04-28,477623.47,268.02664,0,859
2013-04-29,328795.88,184.50948,0,894
2013-04-30,310186.47,174.06648,0,900
2013-05-01,507974.62,285.05872,0,913
2013-05-02,348709.47,195.68433,0,890
2013-05-03,374291.25,210.03998,0,894
2013-05-04,520339.53,291.9975,0,911
2013-05-05,580268.56,325.6277,0,868
2013-05-06,369869.38,207.55858,0,893
2013-05-07,317292.97,178.05441,0,883
2013-05-08,332477.4,186.57542,0,882
2013-05-09,305868.06,171.64313,0,904
2013-05-10,335937.44,188.51707,0,903
2013-05-11,512090.6,287.36847,0,939
2013-05-12,387860.5,217.6546,0,867
2013-05-13,350598.06,196.74414,0,903
2013-05-14,308469.3,173.10287,0,905
2013-05-15,329113.56,184.68774,0,900
2013-05-16,307556.94,172.59088,0,894
2013-05-17,330004.25,185.18758,0,898
2013-05-18,480969.56,269.90436,0,928
2013-05-19,518153.56,290.7708,0,888
2013-05-20,341787.22,191.79979,0,900
2013-05-21,307178.4,172.37845,0,894
2013-05-22,301785.47,169.35211,0,913
2013-05-23,289261.06,162.32382,0,908
2013-05-24,398389.25,223.56299,0,920
2013-05-25,417930.16,234.5287,0,926
2013-05-26,450631.4,252.87958,0,878
2013-05-27,321630.84,180.4887,0,882
2013-05-28,307329.16,172.46304,0,897
