fold_number,validation_start,validation_end,forecast_origin,model,observation_count,mae,rmse,rmsle,wape_percentage
1,2017-06-13,2017-06-28,2017-06-12,zero,28512,456.3907968480512,1341.2743507074285,4.378344636880138,100.0
1,2017-06-13,2017-06-28,2017-06-12,lag_16,28512,175.31020985015246,663.8376132902466,0.6439751556415606,38.41230170741578
1,2017-06-13,2017-06-28,2017-06-12,weekly_seasonal_naive,28512,77.25061370740936,294.46780815650635,0.5234994757995106,16.92641793851265
1,2017-06-13,2017-06-28,2017-06-12,shifted_28_day_mean,28512,112.23745888153675,381.42852716359096,0.5082665075355997,24.592401875032685
1,2017-06-13,2017-06-28,2017-06-12,lag_364,28512,136.18134233948285,545.8092435221221,0.9211838673887792,29.838757328146233
2,2017-06-29,2017-07-14,2017-06-28,zero,28512,484.80211215018056,1432.5686917003209,4.420193574097705,100.0
2,2017-06-29,2017-07-14,2017-06-28,lag_16,28512,154.80766785642348,583.2360782929738,0.6253947972329658,31.932135602674027
2,2017-06-29,2017-07-14,2017-06-28,weekly_seasonal_naive,28512,78.82439563234414,319.910159636658,0.5176185597035576,16.259086678221017
2,2017-06-29,2017-07-14,2017-06-28,shifted_28_day_mean,28512,120.70545310355064,429.2885375780099,0.46630611282757445,24.89788102782829
2,2017-06-29,2017-07-14,2017-06-28,lag_364,28512,143.91038004325978,548.3138691661662,0.9245126194731754,29.684355005177792
3,2017-07-15,2017-07-30,2017-07-14,zero,28512,481.7630417100776,1411.7410730175516,4.4192886285220645,100.0
3,2017-07-15,2017-07-30,2017-07-14,lag_16,28512,179.9468678683795,641.974648411891,0.6458597267498282,37.35173774012133
3,2017-07-15,2017-07-30,2017-07-14,weekly_seasonal_naive,28512,67.29417813615298,266.7212772838653,0.5211689523565779,13.968314775098555
3,2017-07-15,2017-07-30,2017-07-14,shifted_28_day_mean,28512,108.93798130428613,377.57371862118174,0.4736214125283658,22.612357502061027
3,2017-07-15,2017-07-30,2017-07-14,lag_364,28512,146.00045926437434,530.8337552648617,0.9677634721450689,30.305450319752143
4,2017-07-31,2017-08-15,2017-07-30,zero,28512,467.142949625164,1332.908850283178,4.419499687191431,100.0
4,2017-07-31,2017-08-15,2017-07-30,lag_16,28512,145.22548479734849,510.07795179439086,0.6966653231201861,31.08801811391514
4,2017-07-31,2017-08-15,2017-07-30,weekly_seasonal_naive,28512,96.53539104383401,348.38174654466945,0.6170404161336513,20.665064328016534
4,2017-07-31,2017-08-15,2017-07-30,shifted_28_day_mean,28512,99.04063464723126,322.1254158304831,0.5502305965113554,21.201354901471074
4,2017-07-31,2017-08-15,2017-07-30,lag_364,28512,126.7230797827779,444.1196304550313,0.9641903921116588,27.127259414802392
